"anio","promedio_desempleo","promedio_inflacion"
1998,8.30557934489503,8.0582529310137
1999,8.45676208149153,6.96180547889361
2000,8.33398204399564,7.44044351422449
2001,8.3318356953279,6.67437253137612
2002,8.47855127027931,4.4519728282655
2003,8.46272719775563,5.47033463863863
2004,8.25589994834792,4.73235736871401
2005,8.02691843316523,4.70189859119136
2006,7.61257251439244,5.00625424179768
2007,7.242667303399,5.63628135177491
2008,7.16924167923057,9.92096642132891
2009,7.94138076615389,3.62467496481278
2010,8.05565529829462,4.00842035641217
2011,7.99871721317996,6.2798994879981
2012,8.05372918023985,5.4637142654291
2013,8.04706496308371,4.20719522114705
2014,7.86779176481618,3.6495334593435
2015,7.80263965022419,3.72897678071642
2016,7.66733936680562,6.18452250861267
2017,7.45297380873889,4.78943771178708
2018,7.2065064393649,4.16785044398347
2019,7.06410597835115,4.94739226878726
2020,8.12118921846762,6.89469003945201
2021,7.80968829517566,7.64101983281483
2022,6.9499325978284,11.6822448235419
2023,6.60676434230462,9.46983034433769
2024,6.52101190544884,6.56480457965268
