"pais","anio","inflacion","gdp","unemp"
"Aruba",2000,NA,7.62292064930222,NA
"Aruba",2010,2.07814071860783,-2.73345679250639,NA
"Aruba",2020,NA,-26.2118202145169,NA
"Afghanistan",2000,NA,NA,7.935
"Afghanistan",2010,2.17853752389419,14.3624414710737,7.753
"Afghanistan",2020,5.60188791482222,-2.35110067203466,11.71
"Angola",2000,NA,3.05462423430785,16.682
"Angola",2010,14.4696564932577,4.39837593810763,16.618
"Angola",2020,22.271539247051,-5.63821471714934,16.69
"Albania",2000,NA,7.46285871776054,19.023
"Albania",2010,3.62604695579816,2.97315442681247,14.086
"Albania",2020,1.62088661717011,-3.31375636888916,11.69
"Andorra",2000,NA,3.52836236122388,NA
"Andorra",2010,NA,-1.97495799965345,NA
"Andorra",2020,NA,-11.1839399355384,NA
"United Arab Emirates",2000,NA,10.852704215378,2.25
"United Arab Emirates",2010,0.877983288285865,1.60285004671354,2.811
"United Arab Emirates",2020,-2.0794031794094,-4.95705243303316,4.294
"Argentina",2000,NA,-0.78899893905691,15
"Argentina",2010,NA,10.1253981561002,7.714
"Argentina",2020,42.0150947376509,-9.9004848136464,11.461
"Armenia",2000,NA,5.90000000312092,11.095
"Armenia",2010,NA,2.2000000002151,19.523
"Armenia",2020,1.2114357783847,-7.19999999920631,18.175
"American Samoa",2000,NA,NA,NA
"American Samoa",2010,NA,0.299850074962521,NA
"American Samoa",2020,NA,4.41176470588236,NA
"Antigua and Barbuda",2000,NA,6.20355212555867,NA
"Antigua and Barbuda",2010,3.37002540220151,-7.84050683730972,NA
"Antigua and Barbuda",2020,0.625989707046714,-18.8687765208148,NA
"Australia",2000,4.45743514797223,3.9215029305806,6.288
"Australia",2010,2.91834002677376,2.21998026536549,5.214
"Australia",2020,0.846905537459283,-0.119590735829973,6.456
"Austria",2000,2.34486285357281,3.18952292988787,4.687
"Austria",2010,1.81353438995062,1.80898243043663,4.883
"Austria",2020,1.38191063351859,-6.31825509209936,5.201
"Azerbaijan",2000,NA,11.0999991434346,11.78
"Azerbaijan",2010,5.72687224669605,4.7888327097977,5.63
"Azerbaijan",2020,2.75980947008127,-4.19896079231232,7.24
"Burundi",2000,24.4320242102151,-0.856864058424151,3.129
"Burundi",2010,6.49326591473995,5.12415999439806,1.616
"Burundi",2020,7.32110643415518,0.327156892638385,1.03
"Belgium",2000,2.54451776190909,3.71670510672588,6.586
"Belgium",2010,2.18929920422458,2.71031150254662,8.293
"Belgium",2020,0.740791812220353,-4.7929839083518,5.545
"Benin",2000,NA,5.85771420543269,0.864
"Benin",2010,2.20783532536524,2.11406472648392,1.04
"Benin",2020,3.02272119663757,3.84879240030133,1.502
"Burkina Faso",2000,NA,1.88847388906525,2.679
"Burkina Faso",2010,NA,8.44628157707625,3.723
"Burkina Faso",2020,1.88470066518848,2.01077262406221,5.04
"Bangladesh",2000,NA,5.29329471892532,3.27
"Bangladesh",2010,NA,5.57178818533122,3.379
"Bangladesh",2020,5.69107474746208,3.44801755122445,5.436
"Bulgaria",2000,10.316262128999,4.58722551038977,16.218
"Bulgaria",2010,2.43899060504113,1.55535963462032,10.279
"Bulgaria",2020,1.67244096855763,-3.21573743445016,5.125
"Bahrain",2000,NA,5.30006940305884,1.083
"Bahrain",2010,NA,4.3342989754845,1.13
"Bahrain",2020,-2.31770629331375,-5.9113629524152,1.781
"Bahamas, The",2000,NA,4.14841930754267,7.12
"Bahamas, The",2010,NA,1.53866248693835,14.432
"Bahamas, The",2020,0.0385210980054084,-20.0895554324841,12.027
"Bosnia and Herzegovina",2000,NA,5.41431594987489,25.187
"Bosnia and Herzegovina",2010,1.99621236745887,0.865669260237084,27.312
"Bosnia and Herzegovina",2020,-1.05129600763489,-3.01509514759861,15.868
"Belarus",2000,NA,5.80000326754649,12.224
"Belarus",2010,7.73574804312501,7.75001706649201,6.045
"Belarus",2020,5.54814357456511,-0.67274295062424,4.049
"Belize",2000,NA,12.2404595814526,10.836
"Belize",2010,NA,1.11403578740261,8.416
"Belize",2020,0.121434644614868,-13.9029100645218,10.784
"Bermuda",2000,NA,9.31715641086083,NA
"Bermuda",2010,NA,-2.50287828947368,NA
"Bermuda",2020,NA,-6.82757303480177,NA
"Bolivia",2000,NA,2.50781080899483,2.447
"Bolivia",2010,2.50327605844241,4.1267225910567,2.608
"Bolivia",2020,0.940742153381827,-8.7378843576993,7.903
"Brazil",2000,7.04414105947266,4.38794944745618,10.889
"Brazil",2010,5.03872690108075,7.52822581815364,8.422
"Brazil",2020,3.21176803803373,-3.2767587964736,13.697
"Barbados",2000,NA,4.44718962836241,9.35
"Barbados",2010,NA,-2.21771085628227,10.69
"Barbados",2020,NA,-15.0543629495892,9.777
"Brunei Darussalam",2000,NA,3.47467625024112,5.459
"Brunei Darussalam",2010,NA,2.74136433514822,6.455
"Brunei Darussalam",2020,1.94031996607182,1.13357340605403,7.409
"Bhutan",2000,NA,3.35506838174288,1.66
"Bhutan",2010,NA,11.9318738376229,3.32
"Bhutan",2020,5.62936522632511,-10.2183974208569,5.03
"Botswana",2000,NA,1.98769583378552,15.88
"Botswana",2010,NA,10.1197233309093,17.86
"Botswana",2020,1.8903591682421,-8.72888241149465,21.017
"Central African Republic",2000,NA,-2.48943244028874,5.362
"Central African Republic",2010,1.49102370047805,4.63081843223307,5.291
"Central African Republic",2020,1.71015659523154,0.899999996857062,6.196
"Canada",2000,2.71943995691976,5.1385391803606,6.829
"Canada",2010,1.77687154092627,3.09080634469335,8.178
"Canada",2020,0.716999632307807,-5.03823343468899,9.657
"Switzerland",2000,1.5585291967901,3.95871990780931,2.658
"Switzerland",2010,0.688238707220029,3.24339715656356,4.808
"Switzerland",2020,-0.725874933313387,-2.14173712008038,4.817
"Channel Islands",2000,NA,NA,5.551
"Channel Islands",2010,NA,-3.60663231572742,7.225
"Channel Islands",2020,NA,-8.89677926591959,6.863
"Chile",2000,3.84327295706565,4.9716214882971,10.491
"Chile",2010,1.41071107954321,5.85165102224047,8.278
"Chile",2020,3.0454908480433,-6.14347479224092,10.934
"China",2000,0.347811226864583,8.58643201808462,3.26
"China",2010,3.17532475269199,10.5962719761682,4.53
"China",2020,2.41942189457778,2.34018843078414,5
"Cote d'Ivoire",2000,2.53077516737988,-0.265789462275947,4.816
"Cote d'Ivoire",2010,1.22645612135478,6.84804939907013,6.618
"Cote d'Ivoire",2020,2.42500656821817,0.699728593494228,2.584
"Cameroon",2000,NA,3.83241779430614,7.536
"Cameroon",2010,NA,2.89902472122014,4.11
"Cameroon",2020,2.43760882182241,0.259932915907115,3.87
"Congo, Dem. Rep.",2000,NA,-6.91092731652101,3.234
"Congo, Dem. Rep.",2010,NA,7.10797657581392,4.096
"Congo, Dem. Rep.",2020,NA,1.73542276681493,5.345
"Congo, Rep.",2000,NA,7.5759803952642,19.87
"Congo, Rep.",2010,0.391525011227614,9.93126543095578,19.345
"Congo, Rep.",2020,1.79537147083111,-6.26777227963225,22.198
"Colombia",2000,9.22534818585364,2.92486148176778,20.52
"Colombia",2010,2.27200227892011,4.49465897070922,11.153
"Colombia",2020,2.5266350008471,-7.18591413760859,15.983
"Comoros",2000,NA,10.847878616072,4.398
"Comoros",2010,NA,4.80105816823387,4.248
"Comoros",2020,NA,4.00531793513311,4.471
"Cabo Verde",2000,NA,14.2848688450919,13.088
"Cabo Verde",2010,2.07866470906424,1.83641914989978,10.67
"Cabo Verde",2020,0.605795808395438,-20.8052758990735,14.69
"Costa Rica",2000,10.9615496593622,3.86871808953644,5.08
"Costa Rica",2010,5.66275708420022,5.36034352634111,7.171
"Costa Rica",2020,0.724911478131341,-4.27335432161462,16.432
"Cuba",2000,NA,5.9147601740486,5.45
"Cuba",2010,NA,2.39035229650723,2.5
"Cuba",2020,NA,-10.9490846048862,2.24
"Curacao",2000,NA,NA,NA
"Curacao",2010,2.77944261312558,0.0823066088131412,NA
"Curacao",2020,NA,-18.4384703505394,NA
"Cayman Islands",2000,NA,NA,NA
"Cayman Islands",2010,0.276140861750094,-2.71563526217577,NA
"Cayman Islands",2020,NA,-4.95480640759244,NA
"Cyprus",2000,NA,5.96530445494226,4.766
"Cyprus",2010,2.43004084102254,2.28267100119788,6.359
"Cyprus",2020,-0.638422797978945,-3.22063018637567,7.755
"Czechia",2000,3.77538829151735,4.010669619984,8.764
"Czechia",2010,1.47272727272724,2.71466509907701,7.281
"Czechia",2020,3.16129528497808,-5.30487955463876,2.55
"Germany",2000,1.4402683871974,2.87724595591061,7.917
"Germany",2010,1.1038103778926,4.14676755040489,7.043
"Germany",2020,0.144877925813963,-4.09513751682526,3.881
"Djibouti",2000,NA,NA,26.664
"Djibouti",2010,NA,NA,26.371
"Djibouti",2020,1.77740783806177,1.2021151728969,27.713
"Dominica",2000,NA,2.34021932069383,NA
"Dominica",2010,2.99936630549003,-0.105610857694984,NA
"Dominica",2020,1.22026442242472,-15.7064024545862,NA
"Denmark",2000,2.90328203236453,3.72400899471576,4.476
"Denmark",2010,2.31092436974793,1.58289703108802,7.746
"Denmark",2020,0.420711974110097,-1.78010601831291,5.637
"Dominican Republic",2000,7.72413566181617,4.65172550299128,6.432
"Dominican Republic",2010,6.32993220146146,8.40114541209596,5.212
"Dominican Republic",2020,3.78103179915515,-7.92905234231061,6.126
"Algeria",2000,NA,3.80000000158476,29.77
"Algeria",2010,3.91106195534029,4.80000000093564,9.96
"Algeria",2020,2.41513094083414,-4.99999999908597,14.057
"Early-demographic dividend",2000,NA,4.37112541771808,7.11472249654015
"Early-demographic dividend",2010,4.33298207227273,6.50362877942017,6.72549254045243
"Early-demographic dividend",2020,2.96354992076063,-4.2153043663299,7.41080978209992
"Ecuador",2000,96.0963756926097,1.09180164720277,4.8
"Ecuador",2010,3.55437734567847,4.02913787986621,4.088
"Ecuador",2020,-0.338872392562181,-9.24509619165865,6.127
"Egypt, Arab Rep.",2000,NA,6.37000382991766,8.98
"Egypt, Arab Rep.",2010,NA,5.1472348575531,8.757
"Egypt, Arab Rep.",2020,5.04493288977539,3.55016483786838,7.974
"Eritrea",2000,NA,-3.14198590251638,5.608
"Eritrea",2010,NA,2.19419034888082,5.675
"Eritrea",2020,NA,NA,6.088
"Spain",2000,3.43351563418767,5.20064125553942,13.785
"Spain",2010,1.79986457728772,0.0941223116369514,19.86
"Spain",2020,-0.322753017299685,-10.9400706350371,15.532
"Estonia",2000,4.01848952508763,10.0876385800462,13.36
"Estonia",2010,2.97204512015694,2.4497502063999,16.707
"Estonia",2020,-0.444531097679813,-2.88380751483778,6.956
"Ethiopia",2000,NA,6.07321747957951,3.5
"Ethiopia",2010,8.14926402965083,12.5505383459307,2.3
"Ethiopia",2020,20.3563468559061,6.05953089054807,3.994
"Finland",2000,3.04210080667795,5.75373770498848,11.134
"Finland",2010,1.18413523154647,3.1682879121621,8.394
"Finland",2020,0.290554555653304,-2.49103605535707,7.759
"Fiji",2000,NA,-1.69999841605511,4.7
"Fiji",2010,3.68901229670766,2.95467242212241,4.343
"Fiji",2020,-2.59524325887374,-17.0386673704039,4.649
"France",2000,1.67595988720928,4.14099996402915,10.218
"France",2010,1.53112270420927,2.00032476039051,9.279
"France",2020,0.476498852725014,-7.44064589948231,8.009
"Faroe Islands",2000,NA,NA,NA
"Faroe Islands",2010,NA,-0.379817991218616,NA
"Faroe Islands",2020,NA,-1.63732118017028,NA
"Micronesia, Fed. Sts.",2000,2.15851810619413,4.83390378617111,NA
"Micronesia, Fed. Sts.",2010,3.31370963136216,2.25938995585932,NA
"Micronesia, Fed. Sts.",2020,0.554594630853189,-1.67295417145529,NA
"Gabon",2000,NA,-1.88296639760897,17.789
"Gabon",2010,NA,7.08988731455126,20.39
"Gabon",2020,1.35276110675338,-1.8377610635094,21.27
"United Kingdom",2000,1.18295624210409,4.34163419265596,5.558
"United Kingdom",2010,2.49265472467066,2.23331508815346,7.924
"United Kingdom",2020,0.989486703772449,-10.296918859171,4.472
"Georgia",2000,NA,1.84038117927339,10.82
"Georgia",2010,7.11017897486099,6.24640865303363,20.203
"Georgia",2020,5.2024648897534,-6.2904717853839,11.73
"Ghana",2000,40.240933123914,3.70000008164408,10.456
"Ghana",2010,10.7333898354915,7.89971194051621,5.384
"Ghana",2020,9.88728956269943,0.513941670628171,3.313
"Gibraltar",2000,NA,NA,NA
"Gibraltar",2010,NA,NA,NA
"Gibraltar",2020,NA,NA,NA
"Guinea",2000,NA,2.50306056299607,4.599
"Guinea",2010,15.0502688559001,4.81336016967553,5.097
"Guinea",2020,10.6016203387167,4.70459096113575,6.018
"Gambia, The",2000,NA,5.50000021632955,9.787
"Gambia, The",2010,5.04968075857403,5.90833580968288,9.723
"Gambia, The",2020,5.93127636562442,0.591487287873974,5.892
"Guinea-Bissau",2000,NA,1.10027815777423,3.557
"Guinea-Bissau",2010,NA,5.60536311358261,3.137
"Guinea-Bissau",2020,1.14000939393216,2.12811490126288,2.89
"Equatorial Guinea",2000,NA,18.2137799569674,7.955
"Equatorial Guinea",2010,NA,-8.92417588851806,8.07
"Equatorial Guinea",2020,4.76669523944226,-4.79108083383294,8.781
"Greece",2000,3.1511816249383,4.13782699405849,11.345
"Greece",2010,4.71298907760393,-5.6937412158003,12.719
"Greece",2020,-1.24798355581408,-9.19623149726978,15.899
"Grenada",2000,NA,4.88795213650562,NA
"Grenada",2010,3.43650905943351,-0.511146187173722,NA
"Grenada",2020,-0.740732597045526,-13.7566222572107,NA
"Greenland",2000,NA,7.10159688181619,NA
"Greenland",2010,NA,1.73582505889665,NA
"Greenland",2020,NA,0.250789762104304,NA
"Guatemala",2000,NA,3.6088687174876,2.606
"Guatemala",2010,3.85950909833162,2.88417542800377,3.497
"Guatemala",2020,3.21444062197349,-1.78555194467604,2.955
"Guam",2000,NA,NA,15.32
"Guam",2010,NA,2.26325193567601,8.2
"Guam",2020,NA,-10.5188595714539,6.248
"Guyana",2000,NA,-1.36380390261873,11.93
"Guyana",2010,3.73337757704245,4.13844160137342,11.636
"Guyana",2020,0.993337022838761,43.479651716849,15.334
"Hong Kong SAR, China",2000,NA,7.66340826591482,4.92
"Hong Kong SAR, China",2010,2.29289088604676,6.76766581747881,4.329
"Hong Kong SAR, China",2020,0.25096202108081,-6.54478320166854,5.808
"Honduras",2000,NA,7.29128815869618,3.881
"Honduras",2010,4.69889064976226,3.73114034433009,4.119
"Honduras",2020,3.46841177951179,-8.96508223267296,10.982
"Croatia",2000,NA,2.94525299539681,16.064
"Croatia",2010,1.03055505333574,-1.33408152400571,11.62
"Croatia",2020,0.154811374562112,-8.31164257884687,7.507
"Haiti",2000,9.33322197565601,0.870059259424892,8.454
"Haiti",2010,4.82734190074673,-5.65151153448299,15.252
"Haiti",2020,22.7963113642528,-3.30550546965893,15.546
"Hungary",2000,9.80361016908124,4.40937501806403,6.563
"Hungary",2010,4.85555795691956,1.06795068152046,11.172
"Hungary",2020,3.3267438576673,-4.33872540024058,4.25
"Indonesia",2000,3.68862037056682,4.9200677470169,6.077
"Indonesia",2010,5.13420639015885,6.22385418062366,5.614
"Indonesia",2020,1.91983527270797,-2.06551182934165,4.255
"Isle of Man",2000,NA,5.30000152552805,NA
"Isle of Man",2010,NA,3.39999842395957,NA
"Isle of Man",2020,NA,-8.83681697473475,NA
"India",2000,4.00943591045191,3.84099115659129,7.624
"India",2010,11.9893899204244,8.49758470221235,7.652
"India",2020,6.62343677628536,-5.77772470686801,7.859
"Ireland",2000,5.57763269940386,9.40352464290197,4.318
"Ireland",2010,-0.918388645376769,1.68297227062031,14.534
"Ireland",2020,-0.326183651280059,7.1578988000836,5.623
"Iran, Islamic Rep.",2000,NA,5.84552747587396,11.696
"Iran, Islamic Rep.",2010,10.0893629287979,5.79793829590261,13.679
"Iran, Islamic Rep.",2020,30.5941390387295,3.33028845926594,9.687
"Iraq",2000,NA,16.7961344440251,8.058
"Iraq",2010,NA,6.40256484471193,8.267
"Iraq",2020,0.574162679425837,-12.0367930931152,15.778
"Iceland",2000,5.13647123245151,4.98504276049793,1.936
"Iceland",2010,5.39673113167477,-2.83277492276433,7.564
"Iceland",2020,2.8479240151866,-6.94045306829003,5.478
"Israel",2000,1.0326364099949,8.58208942390802,11.102
"Israel",2010,2.70270270270273,5.53434033902194,8.48
"Israel",2020,-0.575254620897805,-2.02161548237589,4.169
"Italy",2000,2.53768532095001,3.88209885062652,10.834
"Italy",2010,1.52551602118248,1.52910573247101,8.363
"Italy",2020,-0.137707573916501,-8.86822122185345,9.164
"Jamaica",2000,NA,0.87870354796236,6.762
"Jamaica",2010,12.6105519975603,-1.45714720947502,7.63
"Jamaica",2020,5.2267777929352,-9.92032245054413,6.501
"Jordan",2000,NA,4.24571192079179,13.7
"Jordan",2010,4.84551875852119,2.31483422063046,12.5
"Jordan",2020,0.333294350628422,-1.10275188309046,19.213
"Japan",2000,-0.67657868359508,2.76464755136783,4.748
"Japan",2010,-0.728243207517766,4.09791791943181,5.102
"Japan",2020,-0.024995834027682,-4.16876457146743,2.809
"Kazakhstan",2000,13.1808905865731,9.80000000214156,12.75
"Kazakhstan",2010,7.40046356341392,7.30000000329814,5.77
"Kazakhstan",2020,6.71815454861464,-2.49999999628,4.89
"Kenya",2000,NA,0.599695390807426,2.889
"Kenya",2010,NA,8.05847360290906,2.796
"Kenya",2020,5.40516207933395,-0.272766327438816,5.619
"Kyrgyz Republic",2000,NA,5.44333663288322,1.858
"Kyrgyz Republic",2010,7.96772225579685,-0.471566596791618,2.887
"Kyrgyz Republic",2020,6.32542296338081,-7.14897757727955,4.63
"Cambodia",2000,NA,9.99358032292079,0.744
"Cambodia",2010,3.99639528107219,5.07691843229247,0.771
"Cambodia",2020,2.94029514263971,-3.55572193406549,0.172
"Kiribati",2000,NA,6.74266531257052,NA
"Kiribati",2010,-3.89955040651653,1.2259519892488,NA
"Kiribati",2020,2.55324554414634,-1.46806718078108,NA
"St. Kitts and Nevis",2000,NA,10.042808415173,NA
"St. Kitts and Nevis",2010,0.850878649795842,-0.0541942065330545,NA
"St. Kitts and Nevis",2020,-1.16724501769354,-15.3018891740649,NA
"Korea, Rep.",2000,2.25916580080157,9.06083332508534,4.063
"Korea, Rep.",2010,2.93928652655687,6.80482491783671,3.324
"Korea, Rep.",2020,0.537288023411766,-0.709415359397681,3.931
"Kuwait",2000,NA,4.69458187079211,0.8
"Kuwait",2010,NA,-2.37054804702014,1.82
"Kuwait",2020,2.10172954827401,-4.81778982257279,3.557
"Lao PDR",2000,NA,5.79878232861959,2.046
"Lao PDR",2010,5.98254521550086,8.52690551739717,0.708
"Lao PDR",2020,5.10407262959923,0.503031829018681,2.361
"Lebanon",2000,NA,1.34187161970405,8.603
"Lebanon",2010,3.98347941855834,7.97513555844932,6.775
"Lebanon",2020,84.864333047204,-21.3998996914321,13.284
"Liberia",2000,NA,28.6159342546183,2.231
"Liberia",2010,7.28992796890218,6.09982524004147,2.266
"Liberia",2020,16.9557241496254,-2.98249127649473,4.109
"Libya",2000,NA,3.6792704082,19.201
"Libya",2010,NA,5.0272476723775,19.276
"Libya",2020,1.44703656998739,-29.4552967282824,19.613
"St. Lucia",2000,NA,0.0487485535201131,16.49
"St. Lucia",2010,3.25034409180129,0.330018546071486,17.12
"St. Lucia",2020,-1.75580833517593,-24.3614732129122,25.224
"Liechtenstein",2000,NA,3.22019308239609,NA
"Liechtenstein",2010,NA,NA,NA
"Liechtenstein",2020,NA,NA,NA
"Sri Lanka",2000,NA,6.00003315828934,7.74
"Sri Lanka",2010,NA,8.01596737040464,4.784
"Sri Lanka",2020,6.15394508391736,-4.62451503749502,5.364
"Lesotho",2000,NA,3.87554677576694,16.227
"Lesotho",2010,-2.40524254598709,5.26967078056286,16.113
"Lesotho",2020,4.97809676252311,-8.15595879914267,18.399
"Late-demographic dividend",2000,NA,7.03192177547119,5.28526433408884
"Late-demographic dividend",2010,3.48251329590442,8.03315940691593,5.23950660656473
"Late-demographic dividend",2020,1.93694126694221,0.303693779788787,5.91884442746147
"Lithuania",2000,0.981615478857585,3.41862206571636,15.931
"Lithuania",2010,1.31921362055464,0.427199566550769,17.814
"Lithuania",2020,1.19989444983568,0.0428158336981426,8.487
"Luxembourg",2000,3.15076707022592,6.93812976136098,2.345
"Luxembourg",2010,2.2736791162154,3.76041454320028,4.423
"Luxembourg",2020,0.819957302127018,-0.510051634039826,6.766
"Latvia",2000,2.65425477796047,5.84102642353959,14.211
"Latvia",2010,-1.08463595015159,-3.66125859554762,19.482
"Latvia",2020,0.219064904842114,-3.46922750780554,8.098
"Macao SAR, China",2000,-1.60971883961895,5.74659100533582,6.874
"Macao SAR, China",2010,2.80947242060845,25.1227881779164,2.84
"Macao SAR, China",2020,0.811410511491636,-54.3361062745857,2.566
"St. Martin (French part)",2000,NA,NA,NA
"St. Martin (French part)",2010,NA,NA,NA
"St. Martin (French part)",2020,NA,-12.500002246731,NA
"Morocco",2000,NA,2.58218091499747,13.58
"Morocco",2010,0.993557401226421,3.49955709403216,9.09
"Morocco",2020,0.705968661338224,-7.17820744246774,11.223
"Monaco",2000,NA,3.91022992758094,NA
"Monaco",2010,NA,2.06521962654098,NA
"Monaco",2020,NA,-13.2391048292108,NA
"Moldova",2000,31.2993015817785,2.10771608200733,8.539
"Moldova",2010,7.48385086350857,7.10000010705836,2.937
"Moldova",2020,3.76597122245358,-8.27597831976949,1.186
"Madagascar",2000,NA,4.45685893956946,5.8
"Madagascar",2010,9.24732173644116,0.619239744622121,4.28
"Madagascar",2020,4.20179312190558,-7.13767162064489,3.284
"Maldives",2000,-1.17475681175945,3.84581023205111,1.97
"Maldives",2010,6.14988536750175,6.78546790940871,10.881
"Maldives",2020,-1.36977425569811,-32.9088287284425,5.434
"Middle East, North Africa, Afghanistan & Pakistan",2000,NA,6.36845540673832,8.42365049272417
"Middle East, North Africa, Afghanistan & Pakistan",2010,3.54406845599084,4.80731428595524,6.85497900968114
"Middle East, North Africa, Afghanistan & Pakistan",2020,1.44703656998739,-3.30783118370476,9.21442251170227
"Mexico",2000,9.49156149435403,5.02928399378261,2.646
"Mexico",2010,4.15672722680173,4.97133457799899,5.303
"Mexico",2020,3.39683415570006,-8.35403456576364,4.44
"Marshall Islands",2000,NA,2.45443006851272,NA
"Marshall Islands",2010,NA,5.53918680023571,NA
"Marshall Islands",2020,NA,-2.77288732394366,NA
"North Macedonia",2000,NA,4.54913578288874,32.2
"North Macedonia",2010,1.50997522027621,3.35875085773812,33.135
"North Macedonia",2020,1.20007348888486,-4.68845000956652,16.575
"Mali",2000,NA,-0.0608349718130512,1.414
"Mali",2010,NA,6.92172188561173,1.405
"Mali",2020,0.438088940320735,-1.16907500952713,3.528
"Malta",2000,NA,19.6812692571544,6.324
"Malta",2010,1.51563513618533,6.1973451691119,6.847
"Malta",2020,0.638544956776647,-3.35834253154739,4.347
"Myanmar",2000,NA,13.7459305561226,0.717
"Myanmar",2010,NA,9.6344394520444,0.727
"Myanmar",2020,NA,-9.04834717984643,1.476
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2000,NA,5.7492054109486,8.72688772666045
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2010,3.91106195534029,4.83040654490945,7.12093020637766
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2020,2.41513094083414,-2.86087724971401,9.84929376390015
"Montenegro",2000,NA,3.10000005928039,30.609
"Montenegro",2010,NA,2.73433108233829,19.649
"Montenegro",2020,-0.255655699848511,-15.3068937570407,17.878
"Mongolia",2000,NA,1.14606213709108,5.993
"Mongolia",2010,10.0462065881651,6.3651616786311,6.549
