"pais","anio","inflacion","gdp","desempleo"
"Aruba",2011,4.31629742195208,3.36923718421511,8.949
"Aruba",2016,-0.931195987079601,1.71962497989442,19.941
"Aruba",2022,8.08238798099103,8.51791810517545,10.948
"Afghanistan",2011,11.8041858089129,0.426354776777345,7.784
"Afghanistan",2016,4.38389195513915,2.26031420279821,10.133
"Angola",2011,13.4824679218511,3.47205314798103,16.77
"Albania",2011,3.42912324722166,2.46351683915714,13.481
"Albania",2016,1.27543168367414,3.90893551362245,15.418
"Albania",2022,6.72520271530052,4.82669611912765,10.137
"Andorra",2011,8.27477490232656,-0.00806975341139093,9.96
"Andorra",2016,3.86322538221276,3.70967806978986,0.316
"Andorra",2022,14.0224913014704,9.56461225648184,2.554
"United Arab Emirates",2011,0.877346595685107,6.21612181664371,2.596
"United Arab Emirates",2016,1.61748808904197,5.56149075979933,1.64
"United Arab Emirates",2022,5.29122604376852,7.50969703496445,2.872
"Argentina",2011,-0.798649886453677,6.00395169280579,7.18
"Argentina",2016,5.40874375479069,-2.08032784377811,8.085
"Armenia",2011,7.65000807859295,4.69999999867412,18.884
"Armenia",2016,-1.40360755900904,0.199999999825991,17.617
"American Samoa",2011,3.7651191635658,0,4.521
"American Samoa",2016,14.3271667616801,-1.67938931297709,3.057
"American Samoa",2022,0.2908333333333,1.73501577287065,0.548
"Antigua and Barbuda",2011,3.45674967234604,-1.95874262217572,3.853
"Antigua and Barbuda",2016,-0.489437796230531,4.1203675438061,10.283
"Antigua and Barbuda",2022,7.53107834634287,9.10780623385958,9.576
"Australia",2011,3.30385015608741,2.40708018291988,5.083
"Australia",2016,1.2769909449733,2.7593859723839,5.711
"Australia",2022,6.59409671341846,4.24238555336139,3.728
"Austria",2011,3.28657914875377,2.92746800169145,4.637
"Austria",2016,0.891591752655315,2.11721964494312,6.064
"Austria",2022,8.54686993188449,5.27789448538658,4.992
"Azerbaijan",2011,7.8583333333334,-1.57299762108384,5.42
"Azerbaijan",2016,12.4433748584372,-3.06359845351244,5
"Azerbaijan",2022,13.8522590144267,4.71468037857544,5.65
"Burundi",2011,9.59216605979671,4.03259998844415,1.602
"Burundi",2016,5.55768961400966,-0.600000909116389,1.347
"Belgium",2011,3.53208210722743,1.93115502411325,7.14
"Belgium",2016,1.97385264653175,1.19350273007754,7.83
"Belgium",2022,9.59751172872501,4.2593607365269,5.57
"Benin",2011,2.70423907747279,2.96375291904201,2.647
"Benin",2016,-0.79331014578558,3.33967342629693,1.784
"Benin",2022,1.35077863583529,6.25294705373625,1.685
"Burkina Faso",2011,2.75976724854531,6.62256261306693,3.827
"Burkina Faso",2016,0.441041448058777,5.95797670754024,4.587
"Burkina Faso",2022,7.83269124233322,1.4972397409897,5.389
"Bangladesh",2011,11.3951651552399,6.46437912497728,3.736
"Bangladesh",2016,5.51352572692994,7.11347821270093,4.35
"Bangladesh",2022,7.69695437176898,7.09982877575158,4.593
"Bulgaria",2011,4.21990346601874,2.09017527015538,11.26
"Bulgaria",2016,-0.798649886453677,3.02662893138918,7.575
"Bulgaria",2022,15.3252589264367,4.03877758301681,4.268
"Bahrain",2011,-0.40004069748808,1.92815791170796,1.21
"Bahrain",2016,2.78679347602043,3.81499327422425,1.192
"Bahrain",2022,3.62574104304489,6.18016125475185,1.326
"Bahamas, The",2011,3.19878141660322,0.613170735890648,14.52
"Bahamas, The",2016,-0.346376929989347,-1.15626703753399,12.7
"Bahamas, The",2022,5.60540633583038,10.8774550145968,9.272
"Bosnia and Herzegovina",2022,14.0208440826771,4.22681101095546,12.657
"Belarus",2016,11.8365807653496,-2.52644643552377,5.844
"Belize",2011,4.75316388885629,-0.244543781225346,8.43
"Belize",2016,0.663427167917562,0.0545516535970023,7
"Belize",2022,6.27689319447547,9.65297772389758,8.763
"Bermuda",2011,2.42899693753408,-3.74274431740703,2.6
"Bermuda",2016,9.88446419823886,-0.657206304259205,4.297
"Bermuda",2022,1.25369880080983,6.47622571186707,4.56
"Bolivia",2011,9.88446419823886,5.204092443086,2.255
"Bolivia",2016,3.62321431764138,4.26392086382113,3.498
"Bolivia",2022,1.74632872945968,3.60568042633635,3.552
"Brazil",2011,6.63644962213086,3.97442307944702,7.578
"Brazil",2016,8.73914352329392,-3.27591690782192,11.58
"Brazil",2022,9.28010608956872,3.01669435393015,9.231
"Barbados",2011,9.43220240177219,-0.731434558650108,11.19
"Barbados",2016,1.28192813061895,1.79193033431267,8.247
"Brunei Darussalam",2011,0.137911563169562,3.74440638728039,6.442
"Brunei Darussalam",2016,-0.278693265753081,-2.47791776520457,8.574
"Brunei Darussalam",2022,3.68225030604211,-1.62833154022366,5.191
"Bhutan",2011,10.8860609413904,8.4892584842808,3.23
"Bhutan",2016,3.21988689395717,8.47594339232963,2.705
"Bhutan",2022,5.63916671396366,5.21386783786224,5.947
"Botswana",2011,8.45987233408586,6.83841050060252,18.054
"Botswana",2016,2.81495791361944,7.20442475914267,19.329
"Central African Republic",2011,1.19447572449848,4.19461533741989,5.281
"Central African Republic",2016,4.94543276106514,4.75031684122342,5.491
"Central African Republic",2022,5.58316735183248,0.453901881507008,5.956
"Canada",2011,2.91213508872347,3.13719442170364,7.637
